Class,precision,recall,F1,support,Modell
Down (0),0.5483870967741935,0.17754569190600522,0.2682445759368836,383.0,LogisticRegression
Up (1),0.518348623853211,0.8582278481012658,0.646329837940896,395.0,LogisticRegression
Down (0),0.5,0.23237597911227154,0.3172905525846702,383.0,SVM
Up (1),0.51,0.7746835443037975,0.6150753768844222,395.0,SVM
Down (0),0.49279538904899134,0.4464751958224543,0.4684931506849315,383.0,RandomForest
Up (1),0.5081206496519721,0.5544303797468354,0.5302663438256658,395.0,RandomForest
Down (0),0.49693251533742333,0.42297650130548303,0.45698166431593795,383.0,KNN
Up (1),0.5110619469026548,0.5848101265822785,0.5454545454545454,395.0,KNN
Down (0),0.48363636363636364,0.3472584856396867,0.40425531914893614,383.0,GradientBoosting
Up (1),0.5029821073558648,0.640506329113924,0.5634743875278396,395.0,GradientBoosting
